alternative,sleeve,instrument_or_exposure,amount_aud,weight_pct,income_yield_low_pct,income_yield_high_pct,total_return_low_pct,total_return_high_pct,tax_character,implementation_note
LT-C,Income-total-return,ORG.AX,55000,5,3.0,5.0,4.0,8.0,Australian dividend/franking assumed,Energy income; monitor duplication
LT-C,Income-total-return,CRED.AX,55000,5,4.5,6.0,4.0,6.0,Australian interest ordinary income,Income sleeve not equity substitute
LT-C,Income-total-return,VGE.AX,55000,5,2.0,3.5,6.0,10.0,Foreign income/AMMA,Small EM growth sleeve
LT-C,Income-total-return,Near-cash reserve,55000,5,2.5,4.0,2.5,4.0,Ordinary interest,Distribution smoothing and tax buffer
LT-D,Growth-maximising,VGS.AX,605000,55,1.5,2.5,6.0,9.0,Foreign income/AMMA,Primary diversified equity engine
LT-D,Growth-maximising,VGE.AX,110000,10,2.0,3.5,6.0,10.0,Foreign income/AMMA,Higher-risk growth sleeve
LT-D,Growth-maximising,Global quality/value/small-cap,110000,10,1.5,3.0,6.0,10.0,Foreign ETF AMMA,Factor diversification
LT-D,Growth-maximising,VAS.AX,110000,10,3.5,5.0,5.0,8.0,Australian ETF distributions/franking per AMMA,Moderate home bias
LT-D,Growth-maximising,SOL.AX,55000,5,2.0,3.0,6.0,9.0,Australian franked dividend assumed,Retain only as satellite
LT-D,Growth-maximising,BHP.AX,33000,3,3.5,5.5,5.0,9.0,Australian franked dividend cyclical,Small commodity satellite
LT-D,Growth-maximising,UKWl,22000,2,5.0,9.0,5.0,8.0,UK dividend/no franking assumed,Small real-asset satellite
LT-D,Growth-maximising,Near-cash reserve,55000,5,2.5,4.0,2.5,4.0,Ordinary interest,Implementation buffer
LT-E,Tax-minimal-transition,VGS.AX,275000,25,1.5,2.5,6.0,9.0,Foreign income/AMMA,Use new capital and low-gain lots first
LT-E,Tax-minimal-transition,VAS.AX,165000,15,3.5,5.0,5.0,8.0,Australian ETF distributions/franking per AMMA,Retain existing position
LT-E,Tax-minimal-transition,VGE.AX,110000,10,2.0,3.5,6.0,10.0,Foreign income/AMMA,Retain existing position
LT-E,Tax-minimal-transition,SOL.AX,165000,15,2.0,3.0,6.0,9.0,Australian franked dividend assumed,Retain existing position; no forced sale
LT-E,Tax-minimal-transition,BHP.AX,110000,10,3.5,5.5,5.0,9.0,Australian franked dividend cyclical,Retain existing position; assess lots
LT-E,Tax-minimal-transition,AGL.AX,55000,5,3.0,5.0,4.0,8.0,Australian dividend/franking assumed,Retain unless thesis breaks
LT-E,Tax-minimal-transition,ORG.AX,22000,2,3.0,5.0,4.0,8.0,Australian dividend/franking assumed,Retain small position
LT-E,Tax-minimal-transition,UKWl,33000,3,5.0,9.0,5.0,8.0,UK dividend/no franking assumed,Do not sell solely for current loss
LT-E,Tax-minimal-transition,CRED.AX,55000,5,4.5,6.0,4.0,6.0,Australian interest ordinary income,Only if retained in LT mandate after Phase 5
LT-E,Tax-minimal-transition,FLBL,33000,3,5.0,8.0,3.0,6.0,US interest/withholding and FX,Transition only; replacement preferred
LT-E,Tax-minimal-transition,JPST,44000,4,3.5,5.0,3.5,5.0,US interest/withholding and FX,Transition cash bucket
LT-E,Tax-minimal-transition,GHY.AX,11000,1,0.0,0.0,-100.0,50.0,Speculative capital gain/loss,Keep bounded; no averaging up
LT-E,Tax-minimal-transition,Near-cash reserve,22000,2,2.5,4.0,2.5,4.0,Ordinary interest,Tax and transaction buffer
